country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",17-04-2026 19:00,26.1403345,85.3650192,OZONE,18,66,48
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",17-04-2026 19:00,25.586562,85.043586,CO,41,52,47
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",17-04-2026 19:00,25.586562,85.043586,OZONE,11,16,14
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",17-04-2026 19:00,25.592539,85.227158,CO,54,86,70
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",17-04-2026 19:00,25.610369,85.132568,NO2,1,2,1
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",17-04-2026 19:00,13.615387,79.40923,NH3,4,6,4
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",17-04-2026 19:00,13.615387,79.40923,OZONE,9,39,26
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",17-04-2026 19:00,16.536107,80.594233,PM10,43,132,60
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",17-04-2026 19:00,16.536107,80.594233,OZONE,19,50,36
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",17-04-2026 19:00,16.486692,80.699436,NH3,4,5,4
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",17-04-2026 19:00,16.486692,80.699436,OZONE,43,74,55
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",17-04-2026 19:00,16.509717,80.612222,SO2,17,18,17
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",17-04-2026 19:00,16.554731,80.64911,PM10,53,69,64
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",17-04-2026 19:00,16.554731,80.64911,NH3,3,6,5
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",17-04-2026 19:00,17.72,83.3,NH3,3,3,3
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",17-04-2026 19:00,26.071318,91.87488,PM2.5,58,323,143
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",17-04-2026 19:00,26.071318,91.87488,OZONE,14,59,46
India,Andhra_Pradesh,Eluru,"District Court, Eluru - APPCB",17-04-2026 19:00,16.711754,81.092095,CO,13,30,22
India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB",17-04-2026 19:00,16.316553,80.413302,PM10,39,115,56
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",17-04-2026 19:00,14.465052,78.824187,PM10,51,80,71
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",17-04-2026 19:00,14.465052,78.824187,NH3,4,6,5
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",17-04-2026 19:00,16.5150833,80.5181667,PM10,24,77,45
